MongoDB shell version: 2.4.9
connecting to: test
xaxis,yaxis,zaxis,lattitude,longitude
1,3,6,23,23
2,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
2232,5,6,23,23
